Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,10.8812,-26.1937,180.0000,bottom
D2,D,D_SOD-123,16.3375,-43.5938,90.0000,bottom
D3,D,D_SOD-123,19.0500,-62.6437,90.0000,bottom
D4,D,D_SOD-123,33.3375,-86.4562,90.0000,bottom
D5,D,D_SOD-123,16.6687,-105.5062,90.0000,bottom
D6,D,D_SOD-123,32.3125,-23.8125,180.0000,bottom
D7,D,D_SOD-123,42.8625,-53.1187,90.0000,bottom
D8,D,D_SOD-123,47.6250,-72.1688,90.0000,bottom
D9,D,D_SOD-123,38.1000,-96.9000,270.0000,bottom
D10,D,D_SOD-123,52.3875,-31.6875,90.0000,bottom
D11,D,D_SOD-123,61.9125,-50.7375,90.0000,bottom
D12,D,D_SOD-123,66.6750,-69.7875,90.0000,bottom
D13,D,D_SOD-123,57.1500,-88.8375,90.0000,bottom
D14,D,D_SOD-123,64.2938,-105.5062,90.0000,bottom
D15,D,D_SOD-123,71.4375,-34.0688,90.0000,bottom
D16,D,D_SOD-123,80.9625,-53.1187,90.0000,bottom
D17,D,D_SOD-123,85.7250,-72.1688,90.0000,bottom
D18,D,D_SOD-123,66.6750,-93.6000,90.0000,bottom
D19,D,D_SOD-123,90.4875,-31.6875,90.0000,bottom
D20,D,D_SOD-123,100.0125,-50.7375,90.0000,bottom
D21,D,D_SOD-123,104.7750,-69.7875,90.0000,bottom
D22,D,D_SOD-123,95.2500,-88.8375,90.0000,bottom
D23,D,D_SOD-123,104.7750,-105.5062,90.0000,bottom
D24,D,D_SOD-123,109.5375,-34.0688,90.0000,bottom
D25,D,D_SOD-123,119.0625,-53.1187,90.0000,bottom
D26,D,D_SOD-123,123.8250,-72.1688,90.0000,bottom
D27,D,D_SOD-123,123.8250,-93.6000,90.0000,bottom
D28,D,D_SOD-123,128.5875,-31.6875,90.0000,bottom
D29,D,D_SOD-123,138.1125,-50.7375,90.0000,bottom
D30,D,D_SOD-123,142.8750,-69.7875,90.0000,bottom
D31,D,D_SOD-123,133.3500,-88.8375,90.0000,bottom
D32,D,D_SOD-123,147.6375,-34.0688,90.0000,bottom
D33,D,D_SOD-123,157.1625,-53.1187,90.0000,bottom
D34,D,D_SOD-123,161.9250,-72.1688,90.0000,bottom
D35,D,D_SOD-123,152.4000,-93.6000,90.0000,bottom
D36,D,D_SOD-123,166.6875,-31.6875,90.0000,bottom
D37,D,D_SOD-123,176.2125,-50.7375,90.0000,bottom
D38,D,D_SOD-123,180.9750,-69.7875,90.0000,bottom
D39,D,D_SOD-123,171.4500,-88.8375,90.0000,bottom
D40,D,D_SOD-123,161.9250,-105.5062,90.0000,bottom
D41,D,D_SOD-123,185.7375,-34.0688,90.0000,bottom
D42,D,D_SOD-123,195.2625,-53.1187,90.0000,bottom
D43,D,D_SOD-123,200.0250,-72.1688,90.0000,bottom
D44,D,D_SOD-123,190.5000,-93.6000,90.0000,bottom
D45,D,D_SOD-123,204.7875,-31.6875,90.0000,bottom
D46,D,D_SOD-123,214.3125,-50.7375,90.0000,bottom
D47,D,D_SOD-123,219.0750,-69.7875,90.0000,bottom
D48,D,D_SOD-123,209.5500,-88.8375,90.0000,bottom
D49,D,D_SOD-123,202.4062,-105.5062,90.0000,bottom
D50,D,D_SOD-123,223.8375,-34.0688,90.0000,bottom
D51,D,D_SOD-123,233.3625,-53.1187,90.0000,bottom
D52,D,D_SOD-123,228.6000,-77.8500,270.0000,bottom
D53,D,D_SOD-123,221.4562,-96.9000,270.0000,bottom
D54,D,D_SOD-123,240.5062,-31.6875,90.0000,bottom
D55,D,D_SOD-123,252.4125,-50.7375,90.0000,bottom
D56,D,D_SOD-123,238.1250,-69.7875,90.0000,bottom
D57,D,D_SOD-123,257.1750,-88.8375,90.0000,bottom
D58,D,D_SOD-123,242.8875,-105.5062,90.0000,bottom
D59,D,D_SOD-123,245.2687,-36.4500,90.0000,bottom
D60,D,D_SOD-123,266.7000,-72.1688,90.0000,bottom
D61,D,D_SOD-123,259.5562,-96.9000,270.0000,bottom
D62,D,D_SOD-123,278.6062,-31.6875,90.0000,bottom
D63,D,D_SOD-123,257.1750,-50.7375,90.0000,bottom
D64,D,D_SOD-123,278.6062,-67.4062,90.0000,bottom
D65,D,D_SOD-123,261.9375,-88.8375,90.0000,bottom
D66,D,D_SOD-123,261.9375,-105.5062,90.0000,bottom
D67,D,D_SOD-123,283.3687,-31.6875,90.0000,bottom
D68,D,D_SOD-123,280.9875,-53.1187,90.0000,bottom
D69,D,D_SOD-123,283.3687,-75.4688,270.0000,bottom
D70,D,D_SOD-123,288.1312,-96.9000,270.0000,bottom
